group_name,debut_year,debut_month,debut_day
Poetic Narrator,2020,January,31
cignature,2020,February,3
DKB,2020,Feburary,3
Episode,2020,February,4
Daydream,2020,February,23
UNVS,2020,February,23
XENEX,2020,February,26
MCND,2020,February,27
CRAXY,2020,March,3
Girls2ooo,2020,March,5
MY.st,2020,March,26
TO1,2020,April,1
Bandage,2020,April,3
CRAVITY,2020,April,14
KAACHI,2020,April,15
Burvey,2020,May,1
LUCY,2020,May,8
WOOAH (formerly woo!ah!),2020,May,15
REDSQUARE,2020,May,19
Secret Number,2020,May,19
Like Me,2020,May,24
E’LAST,2020,June,9
Weeekly,2020,June,30
Blastar,2020,July,31
Chic&Idle,2020,July,20
Maka Maka,2020,August,4
TREASURE,2020,August,7
FLORIA,2020,August,11
AREAL,2020,August,21
Byulzzi,2020,August,23
Tier 4,2020,August,23
BOTOPASS,2020,August,26
Luminous Elf,2020,September,2
LUNARSOLAR,2020,September,2
Checkmate,2020,September,21
XUM,2020,September,22
GHOST9,2020,September,23
PRECIOUS,2020,September,23
Q6IX,2020,September,23
Wiz N,2020,September,24
WEi,2020,October,5
Re,2020,October,7
WJSN CHOCOME,2020,October,7
Refund Sisters,2020,October,10
BLACKSWAN,2020,October,16
Asome.D,2020,October,19
DRIPPIN,2020,October,28
P1Harmony,2020,October,28
PRISMA,2020,October,31
BXK,2020,November,2
STAYC,2020,November,12
NEKIRU,2020,November,13
aespa,2020,November,17
BlingBling,2020,November,17
BAE173,2020,November,19
Q.O.S,2020,November,19
ENHYPEN,2020,November,30
Rolling Quartz,2020,December,30
T1419,2021,January,11
SRZN,2021,January,20
QODES,2021,February,1
TRI.BE,2021,February,17
The KingDom (formerly KINGDOM),2021,February,18
PIXY,2021,February,24
ATO6,2021,February,24
AZER,2021,March,4
WOW,2021,March,8
MAJORS,2021,March,9
CIIPHER,2021,March,15
PURPLE KISS,2021,March,15
Cookie,2021,March,15
MIRAE,2021,March,17
Eternity,2021,March,22
AR3NA,2021,March,25
NTX,2021,March,30
W.A.O,2021,April,22
HOT ISSUE,2021,April,28
Magic Girl,2021,April,29
BLITZERS,2021,May,12
WJSN THE BLACK,2021,May,12
ICECREAM,2021,May,14
LAONZENA,2021,May,31
MINIMANI,2021,June,2
Re,2021,June,6
EPEX,2021,June,8
TOP GIRL,2021,June,8
LIGHTSUM,2021,June,10
OUTLET,2021,June,27
OMEGA X,2021,June,30
JUST B,2021,June,30
MISS T,2021,July,3
Perfume,2021,July,8
Rumble.G,2021,July,14
SSOA,2021,July,15
Kizuna Simulation,2021,August,4
SKYLE,2021,August,4
PEAK & PITCH,2021,August,9
Hi-L,2021,August,10
Lemonade,2021,August,17
SOLIA,2021,August,17
Posh Girls,2021,August,18
Pastel Girls,2021,August,27
PRITTI-G,2021,August,31
Azer-Blossom,2021,September,1
KAIROS,2021,September,1
Ferry Blue,2021,September,6
ICHILLIN’,2021,September,8
MEGAMAX,2021,September,8
HyunA&DAWN,2021,September,9
LUMINOUS,2021,September,9
Sparkling,2021,September,9
UNC,2021,September,13
MANITO,2021,September,19
Beauty Box,2021,September,23
NIK,2021,September,27
Nonstop,2021,October,1
RHEA,2021,October,1
BLE,2021,October,2
Rookie,2021,October,19
bugAboo,2021,October,25
Billlie,2021,November,10
lilli lilli,2021,November,11
Kidols,2021,November,12
