group_name,alt_name,Korean Name,Debut,Company,Members,Orig. Memb.,Active
BXB,,비엑스비,2023-01-30,Wolfburn,5,5,Yes
BXK,Boys X King,비엑스케이,2020-11-02,New Planet,6,6,Yes
C-Clown,,씨클라운,2012-06-19,Yedang,6,6,No
Camila,,카밀라,2018-08-29,Camila,3,3,No
Catch The Young,,캐치더영,2023-11-01,Evermore,5,5,Yes
Cherry Bullet,,체리블렛,2019-01-21,FNC,7,10,Yes
Cherry On Top,,체리온탑,2018-08-09,United,4,4,No
CICI,,씨씨,2019-06-27,UPVOTE,4,4,No
cignature,,시그니처,2020-02-04,C9,7,7,Yes
Ciipher,,싸이퍼,2021-03-15,Rain,7,7,Yes
CIX,,씨아이엑스,2019-07-23,C9,5,5,Yes
CLASS:y,,클래씨,2022-05-05,Universal,7,7,Yes
CLC,,씨엘씨,2015-03-19,Cube,5,5,Hiatus
CMDM,,커맨더맨,2023-04-27,Command the M,6,6,Yes
CoCoSoRi,,코코소리,2016-01-05,MOLE,2,2,No
CRAVITY,,크래비티,2020-04-14,Starship,9,9,Yes
CRAXY,,크랙시,2020-03-03,SAITEINMENT,5,5,Yes
Crayon Pop,,크레용팝,2012-07-18,Chrome,4,5,No
CROSS GENE,,크로스진,2012-07-08,Amuse,5,6,Yes
CSR,,첫사랑,2022-07-27,A2Z,7,7,Yes
D-Crunch,,디크런치,2018-08-06,All-S,9,9,Yes
D-Unit,,디유닛,2012-08-01,D-Business,2,3,No
D.COY,,디코이,2020-02-19,Rolling,5,5,Yes
D.Holic,,디홀릭,2014-10-29,H.Mate,4,5,No
D1CE,,디원스,2019-08-01,Happyface,5,5,Yes
DAY6,,데이식스,2015-09-07,JYP,5,6,Yes
Destiny,,데스티니,2018-09-28,D-SIDE,4,4,Yes
DIA,,다이아,2015-07-14,MBK,6,7,Yes
DKB,Darkbee,다크비,2020-02-03,Brave,9,9,Yes
DONGKIZ,,동키즈,2019-04-24,Dongyo,5,5,Yes
Dorothy,,도로시,2016-08-16,Leek Mill,3,5,No
DreamCatcher,,드림캐쳐,2017-01-13,Happy Face,7,7,Yes
Dreamnote,,드림노트,2018-11-07,iME,6,8,Yes
